,,,,,,,
Código,Classificação,Grupo,Valor,% Partic,% Lucro,%% Vendas,Núm. Clientes
,,,,,,,Atendidos
10000,1,Mercearia,"19.611.531,16","100,00","20,90","50,83",0
10001,1.10,    Seca Commodities,"4.501.043,66","22,95","15,03","11,67",0
10002,1.10.100,          Acucar,"345.753,31","7,68","12,37","0,90",0
10003,1.10.100.001,                Acucar Cristal,"80.681,61","23,34","16,32","0,21",0
10004,1.10.100.001.001,                      Acucar Cristal 1kg,"291,65","0,36","23,32","0,00",27
10005,1.10.100.001.002,                      Acucar Cristal 2kg,"11.635,00","14,42","23,67","0,03",1128
10006,1.10.100.001.003,                      Acucar Cristal 5kg,"68.754,96","85,22","15,05","0,18",2632
10007,1.10.100.002,                Acucar Especiais,"12.622,71","3,65","24,90","0,03",0
10008,1.10.100.002.001,                      Acucar De Coco,"0,00","0,00","0,00","0,00",0
10009,1.10.100.002.002,                      Acucar De Confeiteiro,"1.514,92","12,00","26,50","0,00",221
10010,1.10.100.002.003,                      Acucar Demerara,"5.813,09","46,05","25,62","0,02",853
10011,1.10.100.002.004,                      Acucar Light,"2.727,68","21,61","22,68","0,01",226
10012,1.10.100.002.005,                      Acucar Mascavo,"2.567,02","20,34","24,70","0,01",257
10013,1.10.100.002.006,                      Acucar Organico,"0,00","0,00","0,00","0,00",0
10014,1.10.100.002.007,                      Acucar Torrao,"0,00","0,00","0,00","0,00",0
10015,1.10.100.003,                Acucar Refinado,"252.448,99","73,01","10,47","0,65",0
10016,1.10.100.003.001,                      Acucar Refinado 1kg,"38.133,68","15,10","22,05","0,10",5834
10017,1.10.100.003.002,                      Acucar Refinado 2kg,"0,00","0,00","0,00","0,00",0
10018,1.10.100.003.003,                      Acucar Refinado 5kg,"214.315,31","84,90","8,41","0,56",7910
10019,1.10.100.003.004,                      Acucar Refinado Ate 500g,"0,00","0,00","0,00","0,00",0
10020,1.10.100.003.005,                      Acucar Sache 7g,"0,00","0,00","0,00","0,00",0
10021,1.10.101,          Arroz,"367.675,53","8,17","16,12","0,95",0
10022,1.10.101.001,                Arroz Comum,"68.528,43","18,64","19,41","0,18",0
10023,1.10.101.001.001,                      Arroz Branco 1kg,"11.365,94","16,59","21,77","0,03",1563
10024,1.10.101.001.002,                      Arroz Branco 5kg,"40.572,09","59,20","17,79","0,11",1406
10025,1.10.101.001.003,                      Arroz Branco Ate 2kg,"16.590,40","24,21","21,77","0,04",1384
10026,1.10.101.002,                Arroz Diferenciado,"8.012,24","2,18","27,31","0,02",0
10027,1.10.101.002.001,                      Arroz Arborio,"3.884,51","48,48","30,47","0,01",160
10028,1.10.101.002.002,                      Arroz Especial,"652,90","8,15","27,57","0,00",39
10029,1.10.101.002.003,                      Arroz Integral,"3.474,83","43,37","23,73","0,01",342
10030,1.10.101.003,                Arroz Parbolizado,"291.134,86","79,18","15,03","0,76",0
10031,1.10.101.003.001,                      Arroz Parbo 1kg,"18.300,30","6,29","22,80","0,05",2838
10032,1.10.101.003.002,                      Arroz Parbo 5kg,"257.345,06","88,39","14,07","0,67",10900
10033,1.10.101.003.003,                      Arroz Parbo Ate 2kg,"15.489,50","5,32","21,90","0,04",1562
10034,1.10.102,          Cafe,"1.294.481,66","28,76","15,49","3,36",0
10035,1.10.102.001,                Cafe Capsula,"9.790,76","0,76","29,59","0,03",0
10036,1.10.102.001.001,                      Cafe Com Leite Capsula,"7.299,59","74,56","30,28","0,02",240
10037,1.10.102.001.002,                      Cafe Descafeinado Capsula,"190,74","1,95","29,72","0,00",7
10038,1.10.102.001.003,                      Cafe Extra Forte Capsula,"0,00","0,00","0,00","0,00",0
10039,1.10.102.001.004,                      Cafe Forte Capsula,"0,00","0,00","0,00","0,00",0
10040,1.10.102.001.005,                      Cafe Suave Capsula,"0,00","0,00","0,00","0,00",0
10041,1.10.102.001.006,                      Capsulas Diversas,"1.192,21","12,18","29,63","0,00",40
10042,1.10.102.001.007,                      Capuccino Capsula,"203,45","2,08","25,93","0,00",6
10043,1.10.102.001.008,                      Cha Capsula,"0,00","0,00","0,00","0,00",0
10044,1.10.102.001.009,                      Chocolate Capsula,"904,77","9,24","24,78","0,00",40
10045,1.10.102.002,                Cafe Soluvel,"97.960,23","7,57","25,21","0,25",0
10046,1.10.102.002.001,                      Cafe Com Leite Soluvel,"17.665,68","18,03","26,42","0,05",929
10047,1.10.102.002.002,                      Cafe Descafeinado Soluvel,"2.886,59","2,95","24,92","0,01",166
10048,1.10.102.002.003,                      Cafe Extra Forte Soluvel,"19.064,54","19,46","24,65","0,05",1630
10049,1.10.102.002.004,                      Cafe Forte Soluvel,"781,25","0,80","28,54","0,00",74
10050,1.10.102.002.005,                      Cafe Suave Soluvel,"49.543,80","50,58","25,91","0,13",2334
10051,1.10.102.002.006,                      Capuccino Soluvel,"8.018,37","8,19","19,33","0,02",615
10052,1.10.102.002.007,                      Cevada Soluvel,"0,00","0,00","0,00","0,00",0
10053,1.10.102.003,                Cafe Torrado E Moido,"1.174.859,60","90,76","14,52","3,05",0
10054,1.10.102.003.001,                      Cafe Almofada 250g,"24.504,71","2,09","22,78","0,06",1187
10055,1.10.102.003.002,                      Cafe Almofada 500g,"396.574,11","33,76","16,58","1,03",8740
10056,1.10.102.003.003,                      Cafe Almofada Acima De 500g,"0,00","0,00","0,00","0,00",0
10057,1.10.102.003.004,                      Cafe Vacuo 250g,"31.754,42","2,70","23,33","0,08",1420
10058,1.10.102.003.005,                      Cafe Vacuo 500g,"722.026,36","61,46","12,72","1,87",15417
10059,1.10.102.004,                Especiais E Premium,"11.871,07","0,92","18,96","0,03",0
10060,1.10.102.004.001,                      Cafe Especial,"708,90","5,97","36,94","0,00",17
10061,1.10.102.004.002,                      Cafe Gourmet,"9.409,20","79,26","17,89","0,02",292
10062,1.10.102.004.003,                      Cafe Graos,"1.752,97","14,77","17,41","0,01",13
10063,1.10.103,          Farinha De Trigo,"337.575,90","7,50","11,29","0,88",0
10064,1.10.103.001,                Farinha Trigo Com Fermento,"38.402,31","11,38","7,41","0,10",0
10065,1.10.103.001.001,                      Com Fermento 1kg,"0,00","0,00","0,00","0,00",0
10066,1.10.103.001.002,                      Com Fermento Acima De 5kg,"38.402,31","100,00","7,41","0,10",1519
10067,1.10.103.002,                Farinha Trigo Especiais,"0,00","0,00","0,00","0,00",0
10068,1.10.103.002.001,                      Especiais 1kg,"0,00","0,00","0,00","0,00",0
10069,1.10.103.002.002,                      Especiais Acima De 5kg,"0,00","0,00","0,00","0,00",0
10070,1.10.103.003,                Farinha Trigo Integral,"5.895,03","1,75","14,85","0,02",0
10071,1.10.103.003.001,                      Integral 1kg,"3.733,78","63,34","21,77","0,01",472
10072,1.10.103.003.002,                      Integral 5kg,"2.161,25","36,66","2,89","0,01",76
10073,1.10.103.004,                Farinha Trigo Sem Fermento,"293.278,56","86,88","11,73","0,76",0
10074,1.10.103.004.001,                      Sem Fermento 1kg,"35.986,81","12,27","19,93","0,09",4793
10075,1.10.103.004.002,                      Sem Fermento Acima De 5kg,"257.291,75","87,73","10,58","0,67",8351
10076,1.10.104,          Feijao,"131.227,66","2,92","17,11","0,34",0
10077,1.10.104.001,                Feijao Comum,"131.227,66","100,00","17,11","0,34",0
10078,1.10.104.001.001,                      Feijao Carioca,"8.721,22","6,65","21,40","0,02",1022
10079,1.10.104.001.002,                      Feijao Preto,"122.506,44","93,35","16,81","0,32",13690
10080,1.10.104.002,                Feijao Diferenciado,"0,00","0,00","0,00","0,00",0
10081,1.10.104.002.001,                      Especiais,"0,00","0,00","0,00","0,00",0
10082,1.10.105,          Graos E Farinaceos,"426.919,80","9,48","25,73","1,11",0
10083,1.10.105.001,                Cereais Em Graos,"51.758,81","12,12","26,02","0,13",0
10084,1.10.105.001.001,                      Amendoim Cru,"18.072,87","34,92","26,81","0,05",1682
10085,1.10.105.001.002,                      Canjica,"26.971,93","52,11","26,25","0,07",4603
10086,1.10.105.001.003,                      Ervilha Grao Seco,"0,00","0,00","0,00","0,00",0
10087,1.10.105.001.004,                      Grao De Bico,"846,93","1,64","31,31","0,00",98
10088,1.10.105.001.005,                      Lentilha,"1.946,40","3,76","27,51","0,01",128
10089,1.10.105.001.006,                      Proteina De Soja,"3.920,68","7,58","18,98","0,01",275
10090,1.10.105.002,                Cestas Alimenticias,"70.770,49","16,58","28,25","0,18",0
10091,1.10.105.002.001,                      Cesta Basica,"70.770,49","100,00","28,25","0,18",542
10092,1.10.105.003,                Farinaceos De Mandioca,"57.490,28","13,47","25,38","0,15",0
10093,1.10.105.003.001,                      Farinha Mandioca Branca,"1.887,30","3,28","25,02","0,01",263
10094,1.10.105.003.002,                      Farinha Mandioca Torrada,"8.213,11","14,29","24,08","0,02",1061
10095,1.10.105.003.003,                      Fecula De Mandioca,"1.972,68","3,43","25,81","0,01",172
10096,1.10.105.003.004,                      Polvilho Azedo,"12.895,68","22,43","26,26","0,03",1289
10097,1.10.105.003.005,                      Polvilho Doce,"9.323,44","16,22","26,91","0,02",1152
10098,1.10.105.003.006,                      Sagu,"10.931,15","19,01","27,36","0,03",1279
10099,1.10.105.003.007,                      Tapioca,"12.266,92","21,34","22,40","0,03",1827
10100,1.10.105.004,                Farinaceos De Milho,"119.847,00","28,07","25,90","0,31",0
10101,1.10.105.004.001,                      Farinha De Milho,"78.734,59","65,70","25,51","0,20",11348
10102,1.10.105.004.002,                      Flocao De Milho,"1.995,48","1,66","25,72","0,01",552
10103,1.10.105.004.003,                      Flocos De Milho,"4.704,72","3,93","28,33","0,01",675
10104,1.10.105.004.004,                      Fuba,"34.412,21","28,71","26,47","0,09",5220
10105,1.10.105.004.005,                      Polenta,"0,00","0,00","0,00","0,00",0
10106,1.10.105.005,                Farinaceos De Trigo,"6.228,91","1,46","25,63","0,02",0
10107,1.10.105.005.001,                      Farinha De Rosca,"2.769,10","44,46","28,24","0,01",216
