MÊS,Mês2,CLIENTE,REGIÃO,UF,COD LOJA,NOME LOJA,VISÃO, Venda 2021 R$, Venda 2022 R$, Meta Venda 2022, CMV 2021 R$, CMV 2022 R$, Margem Bruta 2021 R$, Margem Bruta 2022 R$, Meta Margem Bruta R$ 2022, Verbas e Contratos 2021 R$, Verbas e Contratos 2022 R$, Perdas e Quebras 2021 R$, Perdas e Quebras 2022 R$," Estoques 2021 (R$) 
Loja"," Estoques 2022 (R$) 
Loja", Qtd de cupom 2021,Qtd de cupom 2022, Venda Oferta 2021 R$, Venda Oferta 2022 R$,Ruptura Zerados 2021 %, Ruptura Zerados 2022 %, Despesas de Pessoal Total R$ 2021, Despesas de Pessoal Total R$ 2022, Despesas Gerais Total R$ 2021, Despesas Gerais Total R$ 2022,Margem Bruta 2022 %, Margem Bruta 2021 %,Meta Margem Bruta %  2022, Formato
JAN,jan.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.133.220,76 ","  2.446.664,91 ","  2.369.153,13 ","  1.607.289,53 ","  1.808.166,79 ","  521.741,29 ","  638.498,21 ","  634.176,14 ","  13.162,94 ","  13.947,20 ","  51.191,85 ","  73.836,00 ","  1.708.828,77 ","  1.718.976,98 ",  36.931 ,  39.535 ,"  346.056,08 ","  337.184,78 ",,,"  216.431,64 ","  239.061,96 ","  385.197,13 ","  372.996,84 ","26,10%","24,46%","26,77%", VAREJO
FEV,fev.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.130.673,76 ","  2.418.350,67 ","  2.390.711,45 ","  1.618.775,53 ","  1.776.853,66 ","  506.433,92 ","  641.497,12 ","  638.243,44 ","  9.221,77 ","  23.419,09 ","  45.372,46 ","  39.990,15 ","  1.660.532,65 ","  1.950.832,12 ",  35.150 ,  39.336 ,"  339.653,20 ","  388.020,93 ",,,"  266.236,33 ","  229.885,87 ","  487.908,98 ","  384.854,74 ","26,53%","23,77%","26,41%", VAREJO
MAR,mar.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.346.013,03 ","  2.681.249,05 ","  2.411.880,97 ","  1.765.422,49 ","  1.958.513,53 ","  574.866,99 ","  722.735,52 ","  646.955,79 ","  12.199,85 ","  30.089,76 ","  26.775,84 ","  28.542,73 ","  1.878.360,66 ","  2.294.152,56 ",  36.815 ,  42.950 ,"  384.569,42 ","  345.227,52 ",,,"  271.583,99 ","  461.156,50 ","  465.318,95 ","  623.033,31 ","26,96%","24,50%","26,82%", VAREJO
ABR,abr.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.177.118,65 ","  2.722.218,73 ","  2.705.392,29 ","  1.623.354,89 ","  1.995.664,43 ","  547.430,60 ","  726.554,40 ","  738.531,49 ","  1.414,38 ","  12.350,71 ","  21.846,35 ","  31.259,73 ","  1.751.124,39 ","  1.983.207,48 ",  35.806 ,  41.676 ,"  401.327,42 ","  418.155,80 ",,,"  260.148,37 ","  308.481,54 ","  402.759,77 ","  449.596,58 ","26,69%","25,14%","27,30%", VAREJO
MAI,mai.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.180.386,44 ","  2.512.934,77 ","  2.353.039,97 ","  1.611.544,34 ","  1.833.641,83 ","  561.277,65 ","  679.292,99 ","  639.656,40 ","  3.084,26 ","  22.735,15 ","  5.523,62 ","  166.086,45 ","  1.855.603,67 ","  1.758.118,98 ",  36.728 ,  41.565 ,"  344.155,17 ","  338.962,72 ",,,"  289.431,49 ","  284.575,18 ","  422.209,29 ","  522.077,07 ","27,03%","25,74%","27,18%", VAREJO
JUN,jun.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.159.847,83 ","  2.655.491,77 ","  2.468.472,22 ","  1.604.263,36 ","  1.960.376,47 ","  549.397,55 ","  695.115,34 ","  675.451,41 ","  4.316,96 ","  19.146,18 ","  20.138,54 ","  18.216,92 ","  1.922.109,73 ","  2.028.143,02 ",  35.641 ,  40.155 ,"  360.950,85 ","  379.728,49 ",,,"  256.529,04 ","  400.298,70 ","  424.025,80 ","  557.657,38 ","26,18%","25,44%","27,36%", VAREJO
JUL,jul.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.404.446,82 ","  2.760.473,41 ","  2.781.868,24 ","  1.783.798,97 ","  2.052.681,35 ","  620.647,85 ","  709.794,50 ","  718.302,02 ","  11.477,76 ","  34.787,12 ","  27.974,21 ","  27.482,62 ","  2.022.966,29 ","  2.005.447,10 ",  40.439 ,  42.949 ,"  431.016,81 ","  544.105,75 ",,,"  282.134,29 ","  262.980,67 ","  454.466,04 ","  476.155,23 ","25,71%","26,38%","26,99%", VAREJO
AGO,ago.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.439.555,91 ","  2.689.435,92 ","  2.780.761,71 ","  1.832.146,35 ","  1.979.458,39 ","  607.409,67 ","  703.942,20 ","  746.705,64 ","  15.480,85 ","  30.191,19 ","  31.591,78 ","  40.811,85 ","  1.949.605,50 ","  1.997.129,17 ",  40.914 ,  42.856 ,"  464.545,63 ","  390.518,55 ",,,"  348.477,63 ","  258.129,01 ","  486.147,54 ","  430.362,57 ","26,59%","24,90%","27,16%", VAREJO
SET,set.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.416.102,97 ","  2.831.211,72 ","  2.700.272,93 ","  1.800.241,43 ","  2.078.369,40 ","  615.861,51 ","  752.842,32 ","  734.557,58 ","  12.508,57 ","  18.385,59 ","  28.018,64 ","  29.500,71 ","  2.076.484,65 ","  2.231.787,03 ",  40.348 ,  42.295 ,"  442.387,26 ","  393.072,29 ",,,"  267.616,83 ","  451.800,87 ","  406.770,57 ","  698.442,49 ","26,59%","25,49%","27,20%", VAREJO
OUT,out.,LARISSA,IMBITUVA,PR,001,CENTRO,MESMA LOJA,"  2.509.105,30 ","  2.797.011,35 ","  2.888.006,34 ","  1.850.963,03 ","  2.115.732,01 ","  658.142,31 ","  761.319,84 ","  765.039,05 ","  25.842,65 ","  18.644,03 ","  73.189,31 ","  32.500,93 ","  2.003.889,86 ","  2.066.934,34 ",  40.624 ,  43.403 ,"  433.043,21 ","  392.768,73 ",,,"  248.878,71 ","  321.180,77 ","  356.510,98 ","  497.371,60 ","27,22%","26,23%","26,49%", VAREJO
